"HealthTopicCode","MeasureCode","TimeUnit","TimeCode","GeoCode","XValue","XLabel","YValue","YLabel","ZValue","N"
"DENGUE","ALL.AGE.PROPORTION","M","2016-11","HR",6,"65+",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2016-11","HR",1,"0-4",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2016-11","HR",2,"5-14",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2016-11","HR",3,"15-24",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2016-12","HR",1,"0-4",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2016-12","HR",2,"5-14",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2016-12","HR",3,"15-24",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2016-12","HR",4,"25-44",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2016-12","HR",5,"45-64",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2016-12","HR",6,"65+",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-01","HR",1,"0-4",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-01","HR",2,"5-14",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-01","HR",3,"15-24",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-01","HR",4,"25-44",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-01","HR",5,"45-64",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-01","HR",6,"65+",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-02","HR",1,"0-4",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-02","HR",2,"5-14",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-02","HR",3,"15-24",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-02","HR",4,"25-44",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-02","HR",5,"45-64",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-02","HR",6,"65+",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-03","HR",1,"0-4",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-03","HR",2,"5-14",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-03","HR",3,"15-24",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-03","HR",4,"25-44",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-03","HR",5,"45-64",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-03","HR",6,"65+",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-04","HR",1,"0-4",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-04","HR",2,"5-14",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-04","HR",3,"15-24",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-04","HR",4,"25-44",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-04","HR",5,"45-64",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-04","HR",6,"65+",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-05","HR",1,"0-4",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-05","HR",2,"5-14",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-05","HR",3,"15-24",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-05","HR",4,"25-44",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-05","HR",5,"45-64",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-05","HR",6,"65+",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-06","HR",1,"0-4",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-06","HR",2,"5-14",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-06","HR",3,"15-24",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-06","HR",4,"25-44",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-06","HR",5,"45-64",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-06","HR",6,"65+",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-07","HR",1,"0-4",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-07","HR",2,"5-14",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-07","HR",3,"15-24",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-07","HR",4,"25-44",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-07","HR",5,"45-64",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-07","HR",6,"65+",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-08","HR",1,"0-4",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-08","HR",2,"5-14",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-08","HR",3,"15-24",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-08","HR",4,"25-44",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-08","HR",5,"45-64",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-08","HR",6,"65+",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-09","HR",1,"0-4",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-09","HR",2,"5-14",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-09","HR",3,"15-24",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-09","HR",4,"25-44",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-09","HR",5,"45-64",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-09","HR",6,"65+",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-10","HR",1,"0-4",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-10","HR",2,"5-14",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-10","HR",3,"15-24",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-10","HR",4,"25-44",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-10","HR",5,"45-64",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-10","HR",6,"65+",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-11","HR",1,"0-4",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-11","HR",2,"5-14",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-11","HR",3,"15-24",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-11","HR",4,"25-44",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-11","HR",5,"45-64",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-11","HR",6,"65+",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-12","HR",1,"0-4",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-12","HR",2,"5-14",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-12","HR",3,"15-24",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-12","HR",4,"25-44",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-12","HR",5,"45-64",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2017-12","HR",6,"65+",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-01","HR",1,"0-4",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-01","HR",2,"5-14",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-01","HR",3,"15-24",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-01","HR",4,"25-44",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-01","HR",5,"45-64",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-01","HR",6,"65+",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-02","HR",1,"0-4",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-02","HR",2,"5-14",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-02","HR",3,"15-24",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-02","HR",4,"25-44",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-02","HR",5,"45-64",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-02","HR",6,"65+",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-03","HR",1,"0-4",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-03","HR",2,"5-14",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-03","HR",3,"15-24",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-03","HR",4,"25-44",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-03","HR",5,"45-64",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-03","HR",6,"65+",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-04","HR",1,"0-4",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-04","HR",2,"5-14",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-04","HR",3,"15-24",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-04","HR",4,"25-44",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-04","HR",5,"45-64",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-04","HR",6,"65+",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-05","HR",1,"0-4",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-05","HR",2,"5-14",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-05","HR",3,"15-24",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-05","HR",4,"25-44",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-05","HR",5,"45-64",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-05","HR",6,"65+",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-06","HR",1,"0-4",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-06","HR",2,"5-14",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-06","HR",3,"15-24",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-06","HR",4,"25-44",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-06","HR",5,"45-64",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-06","HR",6,"65+",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-07","HR",1,"0-4",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-07","HR",2,"5-14",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-07","HR",3,"15-24",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-07","HR",4,"25-44",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-07","HR",5,"45-64",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-07","HR",6,"65+",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-08","HR",1,"0-4",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-08","HR",2,"5-14",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-08","HR",3,"15-24",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-08","HR",4,"25-44",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-08","HR",5,"45-64",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-08","HR",6,"65+",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-09","HR",1,"0-4",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-09","HR",2,"5-14",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-09","HR",3,"15-24",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-09","HR",4,"25-44",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-09","HR",5,"45-64",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-09","HR",6,"65+",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-10","HR",1,"0-4",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-10","HR",2,"5-14",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-10","HR",3,"15-24",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-10","HR",4,"25-44",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-10","HR",5,"45-64",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-10","HR",6,"65+",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-11","HR",1,"0-4",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-11","HR",2,"5-14",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-11","HR",3,"15-24",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-11","HR",4,"25-44",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-11","HR",5,"45-64",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-11","HR",6,"65+",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-12","HR",1,"0-4",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-12","HR",2,"5-14",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-12","HR",3,"15-24",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-12","HR",4,"25-44",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-12","HR",5,"45-64",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2018-12","HR",6,"65+",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2019-01","HR",1,"0-4",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2019-01","HR",2,"5-14",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2019-01","HR",3,"15-24",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2019-01","HR",4,"25-44",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2019-01","HR",5,"45-64",NA,NA,NA,0
